WHO Region,Country Code,WHO Country Name,Location,Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),Reference
Western Pacific Region,AUS,Australia,Singleton,2019,10.9,30.1,14.23,"NSW Department of Planning, Industry and Environment 2019 NEPM (in preparation)"
Western Pacific Region,AUS,Australia,Sydney,2019,11.27,23.62,15.31,"NSW Department of Planning, Industry and Environment 2019 NEPM (in preparation)"
Western Pacific Region,AUS,Australia,Townsville,2019,7.0,20.2,3.5,Qld Govt Open Data Portal
Western Pacific Region,AUS,Australia,Wollongong/Illawarra,2019,8.8,22.53,10.18,"NSW Department of Planning, Industry and Environment 2019 NEPM (in preparation)"
European Region,AUT,Austria,Freistadt,2010,10.91,14.55,7.37,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Graz,2010,21.93,30.65,34.98,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Illmitz,2010,19.17,23.6,10.8,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Innsbruck,2010,16.11,22.83,28.56,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Klagenfurt,2010,18.12,24.87,37.72,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Linz,2010,20.49,27.8,33.91,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Salzburg,2010,18.23,24.66,39.61,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Sankt Pöelten,2010,19.29,27.46,31.92,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Stixneusiedl,2010,15.23,25.65,15.85,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wels,2010,20.88,26.08,30.27,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wien,2010,21.57,30.04,31.36,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Eisenstadt,2013,18.84,22.59,18.58,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Enns,2013,16.25,23.93,47.23,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Freistadt,2013,9.23,12.53,6.8,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Gmunden,2013,11.63,16.42,16.53,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Graz,2013,18.73,26.28,32.09,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Illmitz,2013,16.0,20.66,9.21,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Innsbruck,2013,14.42,20.85,33.21,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Klagenfurt Am Worthersee,2013,13.79,23.03,34.65,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Kriegen,2013,14.72,18.72,10.89,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Lienz,2013,14.69,19.49,27.56,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Linz,2013,16.75,25.7,31.55,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Salzburg,2013,15.94,22.67,36.6,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Sankt Pöelten,2013,17.94,23.28,28.69,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Schondorf,2013,15.31,19.69,16.52,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Schwechat,2013,13.65,21.63,23.76,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Steyr,2013,14.81,19.59,18.17,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wels,2013,17.56,23.59,27.87,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wien,2013,17.67,25.54,27.49,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wiener Neudorf,2013,16.36,23.05,25.99,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wolfsberg,2013,19.0,25.69,29.05,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Burgfried,2014,11.69,18.95,38.7,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Dornbirn,2014,9.72,15.32,31.13,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Eisenstadt,2014,16.35,21.34,17.68,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Enns,2014,13.85,20.7,45.16,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Freistadt,2014,7.59,11.16,6.61,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Gmunden,2014,8.24,13.01,15.19,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Graz,2014,17.37,24.53,29.97,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Hallein,2014,11.69,18.69,33.39,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Illmitz,2014,14.99,19.56,8.02,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Innsbruck,2014,10.19,15.47,29.3,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Klagenfurt Am Worthersee,2014,12.17,17.61,27.99,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Kriegen,2014,13.35,17.51,11.14,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Lienz,2014,12.05,16.63,26.25,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Linz,2014,15.2,23.51,32.29,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Lustenau,2014,11.23,16.98,32.24,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Reichraming,2014,6.79,8.87,4.17,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Salzburg,2014,11.5,17.49,34.43,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Sankt Pöelten,2014,14.91,21.37,26.79,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Schondorf,2014,13.21,18.17,14.64,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Schwechat,2014,15.21,21.34,22.96,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Steyr,2014,12.88,17.84,16.98,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wels,2014,15.88,22.43,27.44,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wien,2014,15.76,22.84,26.38,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wiener Neudorf,2014,15.31,23.06,26.62,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wolfsberg,2014,15.93,19.91,26.14,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Braunau Am Inn,2015,12.52,17.59,18.14,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Eisenstadt,2015,14.57,21.21,18.68,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Enns,2015,14.4,20.99,45.2,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Freistadt,2015,9.1,12.05,6.67,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Gmunden,2015,9.27,13.35,15.96,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Haselbach,2015,12.52,17.59,18.14,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Klagenfurt Am Worthersee,2015,15.76,21.97,31.4,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Kriegen,2015,11.04,14.57,11.04,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Leibnitz,2015,19.93,20.21,17.63,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Linz,2015,15.95,22.67,34.0,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Reichraming,2015,6.0,7.55,4.3,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Sankt Pöelten,2015,13.98,20.2,28.09,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Schondorf,2015,12.3,17.53,16.75,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Schwechat,2015,16.25,20.57,22.32,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Steyr,2015,11.78,17.11,17.08,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Traun,2015,15.24,20.92,23.84,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Voitsberg,2015,14.79,25.3,16.49,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wien,2015,14.33,20.5,26.3,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wiener Neudorf,2015,13.97,21.47,26.53,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wolfsberg,2015,19.19,23.78,29.83,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Braunau Am Inn,2016,11.97,16.96,20.4,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Burgfried,2016,11.58,16.32,40.16,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Dornbirn,2016,10.71,15.32,30.69,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Eisenstadt,2016,13.41,19.35,18.68,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Freistadt,2016,8.85,12.04,6.37,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Gmunden,2016,8.68,12.06,14.57,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Graz,2016,16.94,23.28,29.59,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Hallein,2016,11.58,17.29,33.07,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Haselbach,2016,11.97,16.96,20.4,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Illmitz,2016,13.21,16.49,8.18,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Innsbruck,2016,11.0,15.96,30.48,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Klagenfurt Am Worthersee,2016,13.26,20.32,31.07,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Kriegen,2016,10.39,13.98,10.23,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Leibnitz,2016,15.37,19.73,15.76,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Lienz,2016,11.09,15.73,24.99,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Linz,2016,14.65,20.58,30.93,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Lustenau,2016,11.12,16.43,32.08,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Reichraming,2016,5.23,6.82,3.53,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Salzburg,2016,9.96,16.26,32.12,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Sankt Pöelten,2016,12.53,17.8,26.31,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Schondorf,2016,12.05,16.41,15.12,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Schwechat,2016,12.91,18.78,21.46,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Steyr,2016,10.74,15.62,14.58,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Steyregg,2016,13.84,19.97,19.8,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Traun,2016,13.55,18.59,20.97,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Voitsberg,2016,13.05,21.9,16.18,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Weiz,2016,11.43,19.37,22.48,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wels,2016,13.57,18.58,23.86,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wien,2016,13.51,18.83,24.86,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wiener Neudorf,2016,12.52,19.18,25.63,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wolfsberg,2016,15.55,20.71,27.26,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Burgfried,2017,12.72,17.18,40.19,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Dornbirn,2017,9.66,14.21,29.87,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Eisenstadt,2017,12.85,19.83,18.2,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Enns,2017,13.78,20.41,43.61,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Freistadt,2017,8.75,11.96,5.75,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Gmunden,2017,8.74,12.08,14.76,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Graz,2017,19.95,25.66,32.31,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Hallein,2017,12.72,17.71,33.79,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Illmitz,2017,13.0,16.61,8.44,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Innsbruck,2017,10.56,15.13,30.38,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Klagenfurt Am Worthersee,2017,13.86,20.92,30.1,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Kriegen,2017,10.4,14.14,11.35,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Leibnitz,2017,15.96,21.36,17.43,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Lenzing,2017,9.82,13.45,13.61,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Lienz,2017,10.91,15.56,24.97,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Linz,2017,15.25,21.39,32.88,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Lustenau,2017,10.38,16.1,31.97,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Reichraming,2017,4.7,5.94,3.19,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Salzburg,2017,12.13,18.94,32.23,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Sankt Pöelten,2017,12.81,19.29,26.07,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Schondorf,2017,12.23,15.29,15.61,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Schwechat,2017,13.4,20.83,21.92,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Steyr,2017,12.31,15.3,16.35,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Steyregg,2017,14.63,19.35,20.85,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Traun,2017,14.59,18.67,20.65,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Voitsberg,2017,12.21,20.55,16.7,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Weiz,2017,13.91,21.56,22.86,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wels,2017,14.24,18.83,24.34,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wien,2017,13.9,19.43,24.33,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wiener Neudorf,2017,12.41,19.42,24.95,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wolfsberg,2017,16.07,21.79,26.42,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Braunau Am Inn,2018,13.27,17.83,18.89,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Burgfried,2018,13.03,17.55,36.9,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Dornbirn,2018,10.51,16.34,28.46,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Eisenstadt,2018,13.79,23.47,17.03,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Enns,2018,16.76,23.13,38.36,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Freistadt,2018,10.23,14.28,5.11,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Gmunden,2018,10.37,14.75,13.23,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Graz,2018,19.27,25.27,28.57,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Hallein,2018,13.03,17.64,31.03,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Haselbach,2018,13.27,17.83,18.89,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Illmitz,2018,14.64,19.81,8.27,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Innsbruck,2018,10.92,15.97,27.42,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Klagenfurt Am Worthersee,2018,12.57,21.62,24.22,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Kriegen,2018,12.46,16.43,11.14,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Leibnitz,2018,15.74,22.05,15.15,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Lienz,2018,11.65,16.93,23.68,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Linz,2018,15.04,22.4,31.36,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Lustenau,2018,11.65,17.43,28.59,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Reichraming,2018,7.16,8.37,3.65,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Salzburg,2018,12.47,19.49,28.54,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Sankt Pöelten,2018,15.78,22.08,24.58,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Schondorf,2018,13.25,17.23,14.66,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Schwechat,2018,16.47,23.08,20.28,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Steyr,2018,13.58,17.52,14.52,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Steyregg,2018,13.77,18.86,16.75,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Traun,2018,14.92,19.54,20.73,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Voitsberg,2018,13.28,21.82,16.43,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Weiz,2018,14.96,20.97,21.23,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wels,2018,14.71,19.85,23.15,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wien,2018,15.89,22.63,23.6,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wiener Neudorf,2018,15.31,21.86,24.72,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wolfsberg,2018,16.06,23.65,23.54,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Braunau Am Inn,2019,12.48,17.83,17.68,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Burgfried,2019,10.68,15.11,36.0,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Dornbirn,2019,9.28,14.77,26.58,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Eisenstadt,2019,10.66,18.36,15.58,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Enns,2019,12.11,18.81,36.98,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Freistadt,2019,7.25,9.77,4.05,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Gmunden,2019,8.42,12.51,12.39,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Graz,2019,15.46,21.63,26.36,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Hallein,2019,10.68,16.04,29.16,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Haselbach,2019,12.48,17.83,17.68,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Illmitz,2019,11.08,15.37,7.65,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Innsbruck,2019,9.03,14.13,26.1,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Klagenfurt Am Worthersee,2019,9.99,17.81,24.8,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Kriegen,2019,9.63,12.2,10.41,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Lienz,2019,10.11,16.67,22.95,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Linz,2019,13.28,19.51,29.56,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Lustenau,2019,10.77,16.13,37.17,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Reichraming,2019,5.17,6.37,2.37,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Salzburg,2019,9.79,16.53,26.82,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Sankt Pöelten,2019,12.65,17.83,22.56,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Schondorf,2019,11.38,14.29,14.04,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Schwechat,2019,12.78,18.21,19.96,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Steyr,2019,10.95,14.66,14.27,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Steyregg,2019,12.45,17.55,17.5,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Traun,2019,12.98,17.11,20.14,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Voitsberg,2019,10.14,16.75,14.83,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Weiz,2019,11.65,18.48,19.52,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wels,2019,12.17,17.3,23.16,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wien,2019,12.59,17.79,21.78,European Environment Agency (downloaded in 2021)
European Region,AUT,Austria,Wiener Neudorf,2019,12.62,17.87,21.14,European Environment Agency (downloaded in 2021)
